izip_2016,presvote16post_2016,ft_black_2016,ft_white_2016,ft_hisp_2016,ft_asian_2016,ft_muslim_2016,ft_jew_2016,ft_christ_2016,ft_fem_2016,ft_immig_2016,ft_blm_2016,ft_wallst_2016,ft_gays_2016,ft_unions_2016,ft_police_2016,ft_altright_2016,accurately_counted2_2016,alcohol_2016,smoke100_2016,pid7_2016,ideo5_2016,pew_religimp_2016,starttime_2016,endtime_2016
6811,Donald Trump,52,94,52,97,3,54,82,2,12,6,70,53,6,88,87,Very confident,Yes,No,Strong Republican,Conservative,Not at all important,04dec2016 09:39:32,04dec2016 09:50:09
12590,Hillary Clinton,76,91,90,80,81,81,87,50,90,11,21,50,70,100,50,Very confident,Yes,No,Strong Democrat,Moderate,Not at all important,04dec2016 07:08:02,04dec2016 07:26:53
2893,Hillary Clinton,78,54,78,56,5,58,96,17,99,55,1,6,9,2,5,Not at all confident,Yes,No,Independent,Moderate,Very important,08dec2016 04:10:16,08dec2016 05:01:17
37807,Donald Trump,51,52,51,51,51,52,100,3,52,0,36,9,2,99,50,Very confident,Yes,Yes,Strong Republican,Conservative,Very important,05dec2016 07:51:17,05dec2016 08:04:09
97526,Donald Trump,99,86,97,93,77,100,97,14,55,2,3,98,99,100,2,Very confident,No,Yes,Independent,Moderate,Not at all important,09dec2016 14:11:37,09dec2016 14:33:45
27127,Hillary Clinton,51,48,0,35,0,48,75,50,10,1,3,1,50,52,50,Somewhat confident,Yes,Yes,Not very strong Democrat,Very conservative,Very important,06dec2016 14:18:10,06dec2016 15:56:57
65810,Donald Trump,73,53,80,76,26,72,85,4,56,7,4,75,3,97,1,Very confident,Yes,No,Not very strong Republican,Moderate,Very important,06dec2016 04:27:36,06dec2016 04:49:03
97229,Donald Trump,65,92,59,59,56,59,52,47,47,2,57,60,0,71,2,Somewhat confident,No,No,Lean Republican,Moderate,Not at all important,04dec2016 08:02:30,04dec2016 08:44:55
18634,Donald Trump,71,91,71,71,6,80,96,41,21,11,40,71,26,90,50,Somewhat confident,Yes,Yes,Strong Republican,Conservative,Very important,09dec2016 12:40:20,09dec2016 13:08:25
33579,Hillary Clinton,71,93,71,83,60,66,61,68,61,51,20,51,34,88,41,Very confident,Yes,Yes,Not very strong Democrat,Moderate,Not too important,13dec2016 07:27:43,13dec2016 07:47:22
32725,Hillary Clinton,99,72,81,65,98,97,85,78,73,99,1,68,50,92,1,Somewhat confident,No,No,Strong Democrat,Very liberal,Somewhat important,02dec2016 17:01:03,02dec2016 17:13:53
19090,Hillary Clinton,94,94,94,89,88,71,97,89,88,78,2,100,87,90,0,Not too confident,Yes,No,Strong Democrat,Moderate,Very important,12dec2016 14:45:09,12dec2016 15:04:27
15438,Hillary Clinton,100,97,91,92,95,96,100,87,84,78,58,87,73,86,64,Not too confident,No,No,Lean Democrat,Moderate,Somewhat important,09dec2016 06:24:51,09dec2016 06:37:28
43224,Hillary Clinton,100,11,100,100,100,100,14,100,100,100,31,100,100,14,0,Very confident,Yes,Yes,Strong Democrat,Very liberal,Somewhat important,09dec2016 12:14:09,09dec2016 12:29:20
46205,Jill Stein,100,95,100,100,94,100,51,91,91,99,4,99,95,65,3,Not too confident,No,Yes,Independent,Very liberal,Somewhat important,04dec2016 19:54:24,04dec2016 20:17:35
46845,Hillary Clinton,95,87,97,94,96,100,83,96,85,88,5,100,99,75,6,Very confident,Yes,No,Strong Democrat,Liberal,Not too important,08dec2016 17:40:55,08dec2016 18:16:07
18014,Donald Trump,9,88,64,87,2,62,61,16,12,1,11,33,29,90,47,Somewhat confident,Yes,No,Strong Republican,Conservative,Not too important,03dec2016 22:33:10,03dec2016 22:57:09
16611,Donald Trump,51,100,11,51,1,99,100,80,11,5,51,51,51,100,50,Somewhat confident,Yes,Yes,Strong Republican,Conservative,Somewhat important,02dec2016 15:32:12,02dec2016 16:55:42
53548,Hillary Clinton,100,100,100,100,100,100,100,100,100,100,99,100,100,100,11,Very confident,No,No,Not sure,Moderate,Very important,05dec2016 13:47:38,05dec2016 14:56:51
95926,Donald Trump,64,94,57,36,11,70,56,21,44,65,48,100,17,81,62,Very confident,Yes,No,Strong Republican,Conservative,Not at all important,04dec2016 05:53:09,04dec2016 06:36:51
72010,Donald Trump,68,76,27,36,8,99,99,29,8,21,66,29,20,100,40,Somewhat confident,No,No,Strong Republican,Conservative,Very important,03dec2016 16:20:11,03dec2016 16:41:39
30291,Hillary Clinton,100,99,81,93,69,98,100,57,50,99,53,67,53,99,48,Very confident,Yes,Yes,Lean Democrat,Liberal,Very important,08dec2016 12:36:16,08dec2016 15:03:24
68516,Donald Trump,91,96,92,91,34,91,91,84,51,13,69,72,36,90,60,Somewhat confident,Yes,Yes,Not very strong Republican,Moderate,Somewhat important,09dec2016 00:33:32,09dec2016 00:56:04
4430,Donald Trump,7,66,3,30,4,75,75,13,52,5,5,61,90,73,51,Somewhat confident,No,No,Strong Democrat,Conservative,Somewhat important,09dec2016 12:25:19,09dec2016 12:54:26
11226,Hillary Clinton,99,41,97,61,77,80,79,97,58,98,50,97,46,99,8,Not too confident,No,Yes,Strong Democrat,Moderate,Very important,09dec2016 17:04:05,09dec2016 17:30:21
11221,Hillary Clinton,60,51,61,60,89,61,50,90,80,90,31,99,75,41,1,Somewhat confident,Yes,No,Strong Democrat,Very liberal,Not at all important,12dec2016 14:41:24,12dec2016 15:43:51
1850,Hillary Clinton,69,71,67,51,42,75,79,61,82,91,38,41,51,60,98,Somewhat confident,No,No,Lean Democrat,Moderate,Very important,09dec2016 16:00:49,09dec2016 16:47:16
95521,Hillary Clinton,55,35,61,90,50,55,40,75,95,75,0,100,75,30,0,Not too confident,No,No,Lean Democrat,Very liberal,Not too important,04dec2016 04:29:13,04dec2016 04:49:17
