izip_2016,presvote16post_2016,ft_black_2016,ft_white_2016,ft_hisp_2016,ft_asian_2016,ft_muslim_2016,ft_jew_2016,ft_christ_2016,ft_fem_2016,ft_immig_2016,ft_blm_2016,ft_wallst_2016,ft_gays_2016,ft_unions_2016,ft_police_2016,ft_altright_2016,accurately_counted2_2016,alcohol_2016,smoke100_2016,pid7_2016,ideo5_2016,pew_religimp_2016,starttime_2016,endtime_2016
18088,Hillary Clinton,50,79,50,50,50,50,81,51,50,51,3,31,69,53,50,Somewhat confident,No,Yes,Strong Democrat,Moderate,Somewhat important,09dec2016 12:22:33,09dec2016 12:39:30
10509,Donald Trump,99,100,99,91,61,100,100,100,11,4,81,100,42,100,NA,Very confident,Yes,No,Not very strong Republican,Moderate,Very important,18dec2016 15:14:52,18dec2016 16:03:58
90602,Hillary Clinton,100,99,99,100,84,100,100,94,98,69,10,88,75,80,2,Somewhat confident,Yes,Yes,Lean Democrat,Liberal,Very important,06dec2016 13:36:30,06dec2016 13:49:00
96815,Hillary Clinton,99,67,100,100,91,82,59,99,98,100,82,100,100,99,2,Not too confident,Yes,No,Not very strong Democrat,Moderate,Not at all important,03dec2016 20:58:07,03dec2016 21:20:55
44139,Donald Trump,71,71,75,NA,0,NA,100,0,50,0,28,7,12,50,51,Not too confident,Yes,Yes,Lean Republican,Conservative,Very important,01dec2016 17:32:44,01dec2016 17:55:50
78225,Hillary Clinton,61,50,70,56,56,60,33,57,61,56,25,77,41,71,12,Somewhat confident,Yes,No,Not very strong Democrat,Moderate,Not too important,09dec2016 17:19:38,09dec2016 18:12:00
84092,Hillary Clinton,88,72,84,54,80,69,75,89,66,24,24,100,31,84,6,Not at all confident,Yes,No,Lean Republican,Moderate,Somewhat important,04dec2016 13:40:13,04dec2016 15:18:03
44124,Donald Trump,100,100,100,100,100,100,100,1,30,1,51,100,1,100,50,Very confident,No,No,Lean Republican,Conservative,Very important,09dec2016 12:05:50,09dec2016 12:30:43
30316,Hillary Clinton,96,52,30,16,74,58,52,55,97,51,NA,52,50,75,1,Not too confident,No,No,Lean Democrat,Moderate,Very important,09dec2016 05:24:24,09dec2016 05:44:25
6068,Hillary Clinton,95,96,85,91,74,51,90,96,71,90,11,95,80,90,6,Somewhat confident,No,No,Strong Democrat,Moderate,Very important,02dec2016 16:56:44,02dec2016 17:26:59
